brick,Cód. Filial
1259 - SAO JOSE,775
1259 - SAO JOSE,783
1259 - SAO JOSE,814
1259 - SAO JOSE,876
1259 - SAO JOSE,895
1259 - SAO JOSE,929
1259 - SAO JOSE,955
1259 - SAO JOSE,982
1259 - SAO JOSE,378
1259 - SAO JOSE,508
1259 - SAO JOSE,497
1259 - SAO JOSE,420
1259 - SAO JOSE,581
1259 - SAO JOSE,605
1259 - SAO JOSE,652
1259 - SAO JOSE,310
1259 - SAO JOSE,321
1259 - SAO JOSE,208
1260 - TIJUCAS,795
1260 - TIJUCAS,806
1260 - TIJUCAS,854
1260 - TIJUCAS,872
1260 - TIJUCAS,966
1260 - TIJUCAS,453
1260 - TIJUCAS,542
1260 - TIJUCAS,556
1260 - TIJUCAS,566
1260 - TIJUCAS,664
1260 - TIJUCAS,359
1260 - TIJUCAS,356
1260 - TIJUCAS,204
1260 - TIJUCAS,209
1261 - ITAJAI,71
1261 - ITAJAI,687
1261 - ITAJAI,723
1261 - ITAJAI,123
1261 - ITAJAI,706
1261 - ITAJAI,314
1261 - ITAJAI,772
1261 - ITAJAI,853
1261 - ITAJAI,905
1261 - ITAJAI,976
1261 - ITAJAI,681
1261 - ITAJAI,344
1262 - CAMBORIU,592
1262 - CAMBORIU,764
1262 - CAMBORIU,770
1262 - CAMBORIU,803
1262 - CAMBORIU,857
1262 - CAMBORIU,868
1262 - CAMBORIU,948
1262 - CAMBORIU,400
1262 - CAMBORIU,407
1262 - CAMBORIU,408
1262 - CAMBORIU,442
1262 - CAMBORIU,486
1262 - CAMBORIU,583
1262 - CAMBORIU,648
1262 - CAMBORIU,303
1262 - CAMBORIU,206
1262 - CAMBORIU,357
1263 - BRUSQUE,960
1263 - BRUSQUE,288
1263 - BRUSQUE,703
1263 - BRUSQUE,825
1263 - BRUSQUE,858
1263 - BRUSQUE,891
1263 - BRUSQUE,909
1263 - BRUSQUE,920
1263 - BRUSQUE,938
1263 - BRUSQUE,953
1263 - BRUSQUE,557
1263 - BRUSQUE,625
1263 - BRUSQUE,655
1263 - BRUSQUE,661
1263 - BRUSQUE,662
1263 - BRUSQUE,205
1263 - BRUSQUE,358
1263 - BRUSQUE,361
1263 - BRUSQUE,988
1264 - ITUPORANGA,867
1265 - ALFREDO WAGNER,441
1266 - LAGES,42
1266 - LAGES,754
1266 - LAGES,762
1266 - LAGES,414
1266 - LAGES,446
1266 - LAGES,494
1267 - SAO JOAQUIM,972
1268 - TUBARAO,550
1268 - TUBARAO,363
1268 - TUBARAO,291
1268 - TUBARAO,771
1268 - TUBARAO,801
1268 - TUBARAO,811
1268 - TUBARAO,865
1268 - TUBARAO,936
1268 - TUBARAO,978
1268 - TUBARAO,432
1268 - TUBARAO,459
1268 - TUBARAO,474
1268 - TUBARAO,544
1268 - TUBARAO,642
1268 - TUBARAO,213
1269 - CRICIUMA,217
1269 - CRICIUMA,107
1269 - CRICIUMA,634
1269 - CRICIUMA,689
1269 - CRICIUMA,776
1269 - CRICIUMA,832
1269 - CRICIUMA,838
1269 - CRICIUMA,892
1269 - CRICIUMA,939
1269 - CRICIUMA,977
1269 - CRICIUMA,433
1269 - CRICIUMA,429
1269 - CRICIUMA,435
1269 - CRICIUMA,488
1269 - CRICIUMA,632
1269 - CRICIUMA,315
1270 - ARARANGUA,110
1270 - ARARANGUA,822
1270 - ARARANGUA,952
1271 - BLUM.L.FREITAS,136
1271 - BLUM.L.FREITAS,747
1271 - BLUM.L.FREITAS,856
1271 - BLUM.L.FREITAS,663
1273 - BLUM.AMAZONAS,97
1273 - BLUM.AMAZONAS,615
1273 - BLUM.AMAZONAS,673
1273 - BLUM.AMAZONAS,760
1273 - BLUM.AMAZONAS,766
1273 - BLUM.AMAZONAS,785
1273 - BLUM.AMAZONAS,789
1273 - BLUM.AMAZONAS,875
1273 - BLUM.AMAZONAS,940
1273 - BLUM.AMAZONAS,575
1273 - BLUM.AMAZONAS,573
1273 - BLUM.AMAZONAS,633
1273 - BLUM.AMAZONAS,322
1273 - BLUM.AMAZONAS,201
1273 - BLUM.AMAZONAS,360
1273 - BLUM.AMAZONAS,207
1273 - BLUM.AMAZONAS,211
1273 - BLUM.AMAZONAS,368
1274 - MASSARANDUBA,330
1274 - MASSARANDUBA,893
1274 - MASSARANDUBA,657
1275 - TIMBO,445
1275 - TIMBO,372
1275 - TIMBO,725
1275 - TIMBO,440
1276 - RIO DO SUL,336
1276 - RIO DO SUL,752
1276 - RIO DO SUL,817
1276 - RIO DO SUL,421
1277 - JOINV. - CENTRO,149
1277 - JOINV. - CENTRO,563
1277 - JOINV. - CENTRO,628
1277 - JOINV. - CENTRO,702
1277 - JOINV. - CENTRO,786
1277 - JOINV. - CENTRO,203
1277 - JOINV. - CENTRO,688
1277 - JOINV. - CENTRO,13
1277 - JOINV. - CENTRO,737
1277 - JOINV. - CENTRO,773
1277 - JOINV. - CENTRO,800
1277 - JOINV. - CENTRO,904
1277 - JOINV. - CENTRO,495
1277 - JOINV. - CENTRO,522
1278 - JOINV. - AMERICA,728
1278 - JOINV. - AMERICA,741
1278 - JOINV. - AMERICA,790
1278 - JOINV. - AMERICA,890
1278 - JOINV. - AMERICA,436
1278 - JOINV. - AMERICA,600
1278 - JOINV. - AMERICA,308
1278 - JOINV. - AMERICA,769
1278 - JOINV. - AMERICA,768
1279 - JOINV. - BAIRROS,152
1279 - JOINV. - BAIRROS,246
1279 - JOINV. - BAIRROS,589
1279 - JOINV. - BAIRROS,647
1279 - JOINV. - BAIRROS,686
1279 - JOINV. - BAIRROS,692
1279 - JOINV. - BAIRROS,722
1279 - JOINV. - BAIRROS,730
1279 - JOINV. - BAIRROS,745
1279 - JOINV. - BAIRROS,750
1279 - JOINV. - BAIRROS,698
1279 - JOINV. - BAIRROS,763
1279 - JOINV. - BAIRROS,781
1279 - JOINV. - BAIRROS,782
1279 - JOINV. - BAIRROS,802
1279 - JOINV. - BAIRROS,820
1279 - JOINV. - BAIRROS,852
1279 - JOINV. - BAIRROS,870
1279 - JOINV. - BAIRROS,889
1279 - JOINV. - BAIRROS,922
1279 - JOINV. - BAIRROS,942
1279 - JOINV. - BAIRROS,954
1279 - JOINV. - BAIRROS,974
1279 - JOINV. - BAIRROS,475
1279 - JOINV. - BAIRROS,521
1279 - JOINV. - BAIRROS,537
1279 - JOINV. - BAIRROS,588
1279 - JOINV. - BAIRROS,611
1279 - JOINV. - BAIRROS,578
1279 - JOINV. - BAIRROS,649
1279 - JOINV. - BAIRROS,680
1279 - JOINV. - BAIRROS,339
1279 - JOINV. - BAIRROS,342
1279 - JOINV. - BAIRROS,346
1279 - JOINV. - BAIRROS,350
1280 - S.FRANCISCO SUL,178
1280 - S.FRANCISCO SUL,84
1280 - S.FRANCISCO SUL,547
1280 - S.FRANCISCO SUL,694
1280 - S.FRANCISCO SUL,697
1280 - S.FRANCISCO SUL,926
1280 - S.FRANCISCO SUL,651
1280 - S.FRANCISCO SUL,332
1280 - S.FRANCISCO SUL,749
1280 - S.FRANCISCO SUL,758
1280 - S.FRANCISCO SUL,774
1280 - S.FRANCISCO SUL,791
1280 - S.FRANCISCO SUL,824
1280 - S.FRANCISCO SUL,855
1280 - S.FRANCISCO SUL,880
1280 - S.FRANCISCO SUL,881
1280 - S.FRANCISCO SUL,914
1280 - S.FRANCISCO SUL,928
1280 - S.FRANCISCO SUL,935
1280 - S.FRANCISCO SUL,946
1280 - S.FRANCISCO SUL,959
1280 - S.FRANCISCO SUL,979
1280 - S.FRANCISCO SUL,472
1280 - S.FRANCISCO SUL,553
1280 - S.FRANCISCO SUL,609
1280 - S.FRANCISCO SUL,610
1280 - S.FRANCISCO SUL,614
1280 - S.FRANCISCO SUL,622
1280 - S.FRANCISCO SUL,656
1280 - S.FRANCISCO SUL,305
1280 - S.FRANCISCO SUL,320
1280 - S.FRANCISCO SUL,347
1280 - S.FRANCISCO SUL,353
1280 - S.FRANCISCO SUL,991
1281 - MAFRA,860
1281 - MAFRA,719
1281 - MAFRA,396
1281 - MAFRA,606
1281 - MAFRA,302
1282 - PORTO UNIAO,778
1283 - CANOINHAS,755
1283 - CANOINHAS,401
1284 - CACADOR,717
1284 - CACADOR,761
1284 - CACADOR,767
1284 - CACADOR,866
1284 - CACADOR,567
1285 - JOACABA,26
1285 - JOACABA,833
1286 - CONCORDIA,751
1286 - CONCORDIA,808
1286 - CONCORDIA,879
1287 - CHAPECO,39
1287 - CHAPECO,354
1287 - CHAPECO,757
1287 - CHAPECO,784
1287 - CHAPECO,837
1287 - CHAPECO,898
1287 - CHAPECO,679
1287 - CHAPECO,341
1287 - CHAPECO,215
1288 - XANXERE,777
1288 - XANXERE,812
1288 - XANXERE,981
1288 - XANXERE,214
1289 - S.MIGUEL D OESTE,756
1289 - S.MIGUEL D OESTE,415
1291 - PORTO ALEGRE - CALCADAO,759
1291 - PORTO ALEGRE - CALCADAO,388
1292 - PORTO ALEGRE - ANDRADAS,983
1293 - BORGES DE MEDEIROS,968
1294 - DR.FLORES,969
1297 - PORTO ALEGRA - CONCEICAO,799
1297 - PORTO ALEGRA - CONCEICAO,967
1300 - INDEPENDENCIA,487
1302 - MENINO DEUS,397
1302 - MENINO DEUS,502
1304 - RIO BRANCO,384
1305 - BELA VISTA,574
1306 - MOINHOS DE VENTO,444
1306 - MOINHOS DE VENTO,674
1308 - PARTENON,549
1309 - CRISTAL,460
1309 - CRISTAL,540
1310 - SAO PEDRO,908
1310 - SAO PEDRO,964
1311 - SARANDI,512
1312 - CRISTO REDENTOR,307
1314 - IPANEMA,984
1314 - IPANEMA,428
1314 - IPANEMA,654
1315 - CANOAS,980
1316 - GUAIBA,469
1317 - SAO LEOPOLDO,910
1317 - SAO LEOPOLDO,399
1317 - SAO LEOPOLDO,482
1318 - SAPUCAIA DO SUL,962
1318 - SAPUCAIA DO SUL,470
1319 - NOVO HAMBURGO,793
1319 - NOVO HAMBURGO,452
1319 - NOVO HAMBURGO,582
1320 - CAMPO BOM,532
1320 - CAMPO BOM,571
1320 - CAMPO BOM,683
1322 - GRAVATAI,827
1322 - GRAVATAI,491
1322 - GRAVATAI,507
1323 - VIAMAO,797
1324 - ALVORADA,427
1325 - CACHOEIRINHA,383
1326 - CAXIAS - CENTRO,826
1326 - CAXIAS - CENTRO,483
1326 - CAXIAS - CENTRO,558
1326 - CAXIAS - CENTRO,572
1326 - CAXIAS - CENTRO,584
1327 - CAXIAS - FATIMA,807
1327 - CAXIAS - FATIMA,975
1327 - CAXIAS - FATIMA,481
1327 - CAXIAS - FATIMA,538
1327 - CAXIAS - FATIMA,586
1327 - CAXIAS - FATIMA,595
1327 - CAXIAS - FATIMA,623
1327 - CAXIAS - FATIMA,678
1327 - CAXIAS - FATIMA,333
1328 - CAXIAS - S.VENDELINO,390
1328 - CAXIAS - S.VENDELINO,410
1328 - CAXIAS - S.VENDELINO,531
1328 - CAXIAS - S.VENDELINO,587
1328 - CAXIAS - S.VENDELINO,596
1328 - CAXIAS - S.VENDELINO,630
1330 - FARROPILHA,828
1330 - FARROPILHA,437
1331 - VACARIA,447
1331 - VACARIA,462
1333 - L.VERMELHA,546
1336 - TORRES,403
1339 - BENTO GONCALVES,815
1339 - BENTO GONCALVES,448
1339 - BENTO GONCALVES,467
1339 - BENTO GONCALVES,541
1339 - BENTO GONCALVES,554
1339 - BENTO GONCALVES,590
1340 - POÇO DAS ANTAS,405
1341 - VENANCIO AIRES,392
1341 - VENANCIO AIRES,597
1342 - LAGEADO,585
1349 - PELOTAS - GAL.OSORIO,389
1349 - PELOTAS - GAL.OSORIO,485
1349 - PELOTAS - GAL.OSORIO,490
1349 - PELOTAS - GAL.OSORIO,509
1349 - PELOTAS - GAL.OSORIO,636
1352 - RIO GRANDE,932
1352 - RIO GRANDE,387
1360 - STA.CRUZ DO SUL,543
1362 - S.M.ACAMPAMENTO,510
1363 - SANTA MARIA,468
1372 - CRUZ ALTA,449
1375 - PANAMBI,620
1380 - IJUI,517
1381 - SANTO ANGELO,476
1382 - SANTA ROSA,484
1383 - PASSO FUNDO,884
1383 - PASSO FUNDO,883
1383 - PASSO FUNDO,457
1383 - PASSO FUNDO,503
1383 - PASSO FUNDO,526
1383 - PASSO FUNDO,621
